
SNAP_TIME       ,   SNAP_ID,INSTANCE_NUMBER,EVENT_NAME                                                      ,RATE_TIMEWAITED
2016_02_13 20:00,     47549,              3,enq: TX - row lock contention                                   ,       25627.87
2016_02_13 20:30,     47550,              4,log file parallel write                                         ,       48942.03
2016_02_13 20:30,     47550,              4,log file sync                                                   ,       66233.78
2016_02_13 20:30,     47550,              4,SQL*Net more data from dblink                                   ,              0
2016_02_13 20:30,     47550,              3,db file sequential read                                         ,      901915.89
2016_02_13 20:30,     47550,              3,log file sync                                                   ,      432277.03
2016_02_13 20:30,     47550,              1,db file scattered read                                          ,           1.15
2016_02_13 20:30,     47550,              2,log file parallel write                                         ,      155842.93
2016_02_13 20:30,     47550,              2,direct path read                                                ,      911711.91
2016_02_13 20:30,     47550,              2,log file sync                                                   ,       386705.6
2016_02_13 20:30,     47550,              1,db file sequential read                                         ,        5920.17
2016_02_13 20:30,     47550,              1,log file sync                                                   ,       66072.06
2016_02_13 20:30,     47550,              3,enq: TX - row lock contention                                   ,      130276.96
2016_02_13 21:00,     47551,              4,log file parallel write                                         ,       60078.16
2016_02_13 21:00,     47551,              4,log file sync                                                   ,       153188.7
2016_02_13 21:00,     47551,              4,SQL*Net more data from dblink                                   ,      326232.71
2016_02_13 21:00,     47551,              3,db file sequential read                                         ,       798596.5
2016_02_13 21:00,     47551,              3,log file sync                                                   ,      798647.51
2016_02_13 21:00,     47551,              1,db file scattered read                                          ,       107767.7
2016_02_13 21:00,     47551,              2,log file parallel write                                         ,      191247.72
2016_02_13 21:00,     47551,              2,direct path read                                                ,       84643.85
2016_02_13 21:00,     47551,              2,log file sync                                                   ,       987001.9
2016_02_13 21:00,     47551,              1,db file sequential read                                         ,       66362.86
2016_02_13 21:00,     47551,              1,log file sync                                                   ,       95576.83
2016_02_13 21:00,     47551,              3,enq: TX - row lock contention                                   ,       37840.58
2016_02_13 21:30,     47552,              4,log file parallel write                                         ,       53357.31
2016_02_13 21:30,     47552,              4,log file sync                                                   ,       97704.99
2016_02_13 21:30,     47552,              4,SQL*Net more data from dblink                                   ,      934927.43
2016_02_13 21:30,     47552,              3,db file sequential read                                         ,      742383.39
2016_02_13 21:30,     47552,              3,log file sync                                                   ,       358218.6
2016_02_13 21:30,     47552,              1,db file scattered read                                          ,        51719.9
2016_02_13 21:30,     47552,              2,log file parallel write                                         ,      141025.95
2016_02_13 21:30,     47552,              2,direct path read                                                ,       89954.27
2016_02_13 21:30,     47552,              2,log file sync                                                   ,       291224.5
2016_02_13 21:30,     47552,              1,db file sequential read                                         ,      116726.43
2016_02_13 21:30,     47552,              1,log file sync                                                   ,       53070.59
2016_02_13 21:30,     47552,              3,enq: TX - row lock contention                                   ,         6472.7
2016_02_13 22:00,     47553,              4,log file parallel write                                         ,       62238.96
2016_02_13 22:00,     47553,              4,log file sync                                                   ,       92395.92
2016_02_13 22:00,     47553,              4,SQL*Net more data from dblink                                   ,      148946.25
2016_02_13 22:00,     47553,              3,db file sequential read                                         ,      641457.06
2016_02_13 22:00,     47553,              3,log file sync                                                   ,      300616.56
2016_02_13 22:00,     47553,              1,db file scattered read                                          ,              2
2016_02_13 22:00,     47553,              2,log file parallel write                                         ,      159159.96
