Enter value for sql_id: crg49j4zawzwt

   |             |          |      |                 |    |      |       |      |        |            |           |         |          |      elapsd|         cpu|          io|       clust|        conc|         |          |            |
   |             |          |      |                 | inv| parse|       |PXServ|        |      buffer|       disk|   direct|      rows|        time|        time|        wait|        wait|        wait|         |          |     elapsed|
 in|             | plan_hash|  snap|                 |alid| calls|   exec|  Exec| fetches|        gets|      reads|   writes| processed|       delta|       delta|       delta|       delta|       delta|         |          |         per|
 ID|SQL_ID       |     value|    id|SNAP_BEG         | dlt| delta|  delta| delta|   delta|       delta|      delta|    delta|     delta|        (ms)|        (ms)|        (ms)|        (ms)|        (ms)|OPT      |    CPU_EX|   execution|SQL_PROFILE
---|-------------|----------|------|-----------------|----|------|-------|------|--------|------------|-----------|---------|----------|------------|------------|------------|------------|------------|---------|----------|------------|------------------------------------------------------------------------------------------------
  1|crg49j4zawzwt| 311184100| 26213|MON 07-10 17:00  |   1|     4|     16|     0|      16|     5237092|    3767993|        0|         4|  1259109.07|   196680.00|  1132915.00|         .00|         .00|ALL      |   12292.5|    78694.32|null
  1|crg49j4zawzwt| 311184100| 26214|MON 07-10 18:00  |   1|     4|     16|     0|      16|     5237089|    3774500|        0|         1|  1050723.12|   192770.00|   933963.37|         .00|         .00|ALL      | 12048.125|    65670.19|null
  1|crg49j4zawzwt| 311184100| 26215|MON 07-10 19:00  |   1|     5|     16|     0|      15|     4909774|    4055101|        0|         4|  1195074.88|   209040.00|  1067859.27|         .00|         .00|FIR      |     13065|    74692.18|null
  1|crg49j4zawzwt| 311184100| 26216|MON 07-10 20:00  |   1|     4|     16|     0|      16|     5237264|    4597075|        0|        29|  1357652.54|   235480.00|  1215311.59|         .00|         .00|FIR      |   14717.5|    84853.28|null
  1|crg49j4zawzwt| 311184100| 26217|MON 07-10 21:00  |   0|     4|     16|     0|      19|     5237307|    4649097|        0|        98|  1335813.77|   232400.00|  1197102.07|         .00|         .00|FIR      |     14525|    83488.36|null
  1|crg49j4zawzwt| 311184100| 26218|MON 07-10 22:00  |   1|     2|     13|     0|      16|     4255391|    3777293|        0|        81|  1620450.45|   187860.00|  1511371.36|         .00|      219.89|ALL      |14450.7692|   124650.03|null
  1|crg49j4zawzwt| 311184100| 26219|MON 07-10 23:00  |   2|     0|     16|     0|      21|     5564850|    3975768|        0|       119|  2222222.86|   214090.00|  2082002.01|         .00|      279.44|ALL      | 13380.625|   138888.93|null
  1|crg49j4zawzwt| 311184100| 26220|TUE 08-10 00:00  |   3|     0|     10|     0|      10|     3273247|    2650771|        0|        14|  1139170.86|   133450.00|  1061317.99|         .00|      109.52|FIR      |     13345|   113917.09|null
  1|crg49j4zawzwt| 311184100| 26221|TUE 08-10 01:00  |   3|     0|     16|     0|      16|     4910037|    3999442|        0|        78|  1110581.07|   199920.00|   994936.06|         .00|      221.07|FIR      |     12495|    69411.32|null
  1|crg49j4zawzwt| 311184100| 26222|TUE 08-10 02:00  |   1|     1|     16|     0|      20|     5237372|    4265992|        0|       106|  1238074.60|   217100.00|  1106696.81|         .00|      102.93|FIR      |  13568.75|    77379.66|null
  1|crg49j4zawzwt| 311184100| 26223|TUE 08-10 03:00  |   1|     1|     16|     0|      20|     5237429|    4265901|        0|       110|  1246400.11|   218220.00|  1113926.31|         .00|         .00|FIR      |  13638.75|    77900.01|null
  1|crg49j4zawzwt| 311184100| 26224|TUE 08-10 04:00  |   1|     0|     15|     0|      17|     5237617|    4265802|        0|        94|  1872416.70|   218300.00|  1742492.94|         .00|         .00|ALL      |14553.3333|   124827.78|null
  1|crg49j4zawzwt| 311184100| 26225|TUE 08-10 05:00  |   3|     1|     16|     0|      17|     4910063|    3999097|        0|        95|  1298669.04|   204660.00|  1173444.55|         .00|         .00|FIR      |  12791.25|    81166.81|null
  1|crg49j4zawzwt| 311184100| 26226|TUE 08-10 06:00  |   1|     4|     16|     0|      20|     5237344|    4265576|        0|       104|  1252916.47|   217160.00|  1119732.07|         .00|         .00|FIR      |   13572.5|    78307.28|null
  1|crg49j4zawzwt| 311184100| 26227|TUE 08-10 07:00  |   1|     6|     16|     0|      17|     5237324|    4609433|        0|        84|  1362567.12|   235070.00|  1219394.08|         .00|         .00|FIR      | 14691.875|    85160.45|null

   |             |          |      |                 |    |      |       |      |        |            |           |         |          |      elapsd|         cpu|          io|       clust|        conc|         |          |            |
   |             |          |      |                 | inv| parse|       |PXServ|        |      buffer|       disk|   direct|      rows|        time|        time|        wait|        wait|        wait|         |          |     elapsed|
 in|             | plan_hash|  snap|                 |alid| calls|   exec|  Exec| fetches|        gets|      reads|   writes| processed|       delta|       delta|       delta|       delta|       delta|         |          |         per|
 ID|SQL_ID       |     value|    id|SNAP_BEG         | dlt| delta|  delta| delta|   delta|       delta|      delta|    delta|     delta|        (ms)|        (ms)|        (ms)|        (ms)|        (ms)|OPT      |    CPU_EX|   execution|SQL_PROFILE
---|-------------|----------|------|-----------------|----|------|-------|------|--------|------------|-----------|---------|----------|------------|------------|------------|------------|------------|---------|----------|------------|------------------------------------------------------------------------------------------------
  1|crg49j4zawzwt| 311184100| 26228|TUE 08-10 08:00  |   1|     1|     16|     0|      16|     5237293|    4781360|        0|        85|  1375177.93|   235240.00|  1236078.48|         .00|         .00|FIR      |   14702.5|    85948.62|null
  1|crg49j4zawzwt| 311184100| 26229|TUE 08-10 09:00  |   0|     1|     16|     0|      19|     5237314|    4822342|        0|       104|  1383306.59|   239150.00|  1241799.75|         .00|         .00|FIR      | 14946.875|    86456.66|null
  1|crg49j4zawzwt| 311184100| 26230|TUE 08-10 10:00  |   1|     0|     16|     0|      20|     5237353|    4822190|        0|       111|  1379947.03|   238500.00|  1238983.84|         .00|         .00|FIR      |  14906.25|    86246.69|null
  1|crg49j4zawzwt| 311184100| 26231|TUE 08-10 11:00  |   1|     1|     16|     0|      20|     5237411|    4822040|        0|       109|  1390766.66|   236250.00|  1251449.52|         .00|         .00|FIR      | 14765.625|    86922.92|null
  1|crg49j4zawzwt| 311184100| 26232|TUE 08-10 12:00  |   1|     2|     16|     0|      20|     5237378|    4093240|        0|       110|  1269226.49|   212140.00|  1135422.23|         .00|       17.98|FIR      |  13258.75|    79326.66|null
  1|crg49j4zawzwt| 311184100| 26233|TUE 08-10 13:00  |   1|     5|     16|     0|      20|     5237425|    3869501|        0|       109|  1135694.76|   203710.00|  1008722.55|         .00|         .00|FIR      | 12731.875|    70980.92|null
  1|crg49j4zawzwt| 311184100| 26234|TUE 08-10 14:00  |   1|     3|     16|     0|      20|     5237461|    3910810|        0|       102|  1163443.84|   205550.00|  1036310.15|         .00|         .00|FIR      | 12846.875|    72715.24|null
  1|crg49j4zawzwt| 311184100| 26235|TUE 08-10 15:00  |   0|     3|     16|     0|      17|     5237466|    3944707|        0|        91|  1146685.27|   193980.00|  1031099.84|         .00|         .00|FIR      |  12123.75|    71667.83|null
  1|crg49j4zawzwt| 311184100| 26236|TUE 08-10 16:00  |   0|     2|     15|     0|      18|     5237683|    3988468|        0|        96|  1170082.29|   190550.00|  1058107.86|         .00|         .00|FIR      |12703.3333|    78005.49|null
  1|crg49j4zawzwt| 311184100| 26237|TUE 08-10 17:00  |   2|     3|     16|     0|      20|     5237691|    3785260|        0|       108|  1417583.23|   192560.00|  1297871.88|         .00|       25.18|ALL      |     12035|    88598.95|null
  1|crg49j4zawzwt| 311184100| 26238|TUE 08-10 18:00  |   1|     5|     15|     0|      18|     4910254|    3635536|        0|        96|  1202743.02|   175700.00|  1098068.66|         .00|         .00|FIR      |11713.3333|    80182.87|null
  1|crg49j4zawzwt| 311184100| 26239|TUE 08-10 19:00  |   2|     4|     16|     0|      16|     5237609|    4050249|        0|        84|  1347859.05|   196970.00|  1230652.46|         .00|         .00|ALL      | 12310.625|    84241.19|null
  1|crg49j4zawzwt| 311184100| 26240|TUE 08-10 20:00  |   1|     3|     14|     0|      14|     4582951|    3751725|        0|        72|  1271554.19|   185930.00|  1161445.27|         .00|         .00|ALL      |13280.7143|    90825.30|null
  1|crg49j4zawzwt| 311184100| 26241|TUE 08-10 21:00  |   0|     3|     16|     0|      20|     5237546|    4413123|        0|       103|  1441449.87|   211250.00|  1321240.64|         .00|         .00|ALL      | 13203.125|    90090.62|null
  1|crg49j4zawzwt| 311184100| 26242|TUE 08-10 22:00  |   1|     0|     15|     0|      16|     4910341|    4137323|        0|        93|  1514895.46|   203520.00|  1399807.56|         .00|         .00|ALL      |     13568|   100993.03|null
  1|crg49j4zawzwt| 311184100| 26243|TUE 08-10 23:00  |   1|     0|      2|     0|       3|      654756|     551651|        0|        24|   589423.14|    28820.00|   572354.72|         .00|         .00|ALL      |     14410|   294711.57|null
  1|crg49j4zawzwt| 311184100| 26249|WED 09-10 05:00  |   0|     2|     15|     0|      18|     4583132|    4582666|        0|        97|  1797661.05|   239620.00|  1659532.61|         .00|         .00|ALL      |15974.6667|   119844.07|null
  1|crg49j4zawzwt| 311184100| 26250|WED 09-10 06:00  |   0|     2|     14|     0|      15|     4582994|    4396319|        0|        85|  2494936.07|   240730.00|  2344057.29|         .00|       30.26|ALL      |     17195|   178209.72|null
  1|crg49j4zawzwt| 311184100| 26251|WED 09-10 07:00  |   0|     3|     15|     0|      16|     4910304|    4878240|        0|        89|  1987632.38|   249830.00|  1818975.21|         .00|         .00|ALL      |16655.3333|   132508.83|null
  1|crg49j4zawzwt| 311184100| 26252|WED 09-10 08:00  |   0|     0|     16|     0|      20|     5237582|    5205629|        0|       107|  1488688.59|   250960.00|  1342293.60|         .00|         .00|ALL      |     15685|    93043.04|null
  1|crg49j4zawzwt| 311184100| 26253|WED 09-10 09:00  |   0|     1|     16|     0|      20|     5237693|    5205476|        0|       104|  1499089.94|   250970.00|  1352371.04|         .00|         .00|ALL      | 15685.625|    93693.12|null
  1|crg49j4zawzwt| 311184100| 26254|WED 09-10 10:00  |   0|     0|     15|     0|      20|     5237689|    5205353|        0|       103|  1540650.85|   248770.00|  1396335.17|         .00|         .00|ALL      |16584.6667|   102710.06|null
  1|crg49j4zawzwt| 311184100| 26255|WED 09-10 11:00  |   1|     0|     16|     0|      17|     5237719|    5217241|        0|        89|  1455397.95|   239990.00|  1322177.69|         .00|         .00|ALL      | 14999.375|    90962.37|null
  1|crg49j4zawzwt| 311184100| 26256|WED 09-10 12:00  |   1|     2|     16|     0|      16|     5237613|    5217926|        0|        79|  1476489.01|   239140.00|  1344362.10|         .00|         .00|ALL      |  14946.25|    92280.56|null
  1|crg49j4zawzwt| 311184100| 26257|WED 09-10 13:00  |   1|     1|     16|     0|      16|     5237745|    5217927|        0|        83|  1414710.61|   239450.00|  1282717.49|         .00|         .00|ALL      | 14965.625|    88419.41|null
  1|crg49j4zawzwt| 311184100| 26258|WED 09-10 14:00  |   1|     4|     16|     0|      18|     5237915|    5217880|        0|       102|  1405023.15|   236560.00|  1274671.32|         .00|         .00|ALL      |     14785|    87813.95|null
  1|crg49j4zawzwt| 311184100| 26259|WED 09-10 15:00  |   0|     3|     16|     0|      19|     5237824|    5217767|        0|       103|  1430167.91|   239810.00|  1298159.94|         .00|         .00|ALL      | 14988.125|    89385.49|null
  1|crg49j4zawzwt| 311184100| 26260|WED 09-10 16:00  |   1|     5|     16|     0|      16|     5237751|    5217608|        0|        83|  1429592.59|   240780.00|  1295848.32|         .00|         .00|ALL      |  15048.75|    89349.54|null
  1|crg49j4zawzwt| 311184100| 26261|WED 09-10 17:00  |   0|     5|     15|     0|      17|     4910495|    4897493|        0|        98|  1986584.23|   232350.00|  1852820.27|         .00|         .00|ALL      |     15490|   132438.95|null
  1|crg49j4zawzwt| 311184100| 26262|WED 09-10 18:00  |   1|     4|     16|     0|      20|     5237871|    5224827|        0|       104|  1808960.06|   243860.00|  1674506.23|         .00|         .00|ALL      |  15241.25|   113060.00|null
  1|crg49j4zawzwt| 311184100| 26263|WED 09-10 19:00  |   1|     6|     16|     0|      17|     4910433|    4898204|        0|        79|  1342969.40|   225650.00|  1218522.78|         .00|         .00|ALL      | 14103.125|    83935.59|null
  1|crg49j4zawzwt| 311184100| 26264|WED 09-10 20:00  |   0|     5|     15|     0|      17|     4910326|    4899521|        0|        87|  1385407.52|   236940.00|  1249740.36|         .00|         .00|ALL      |     15796|    92360.50|null
  1|crg49j4zawzwt| 311184100| 26265|WED 09-10 21:00  |   0|     2|     15|     0|      17|     5237823|    5226541|        0|        91|  1440628.15|   243960.00|  1305028.36|         .00|         .00|ALL      |     16264|    96041.88|null
  1|crg49j4zawzwt| 311184100| 26266|WED 09-10 22:00  |   0|     3|     15|     0|      15|     4910398|    4899793|        0|        79|  2033198.13|   238690.00|  1901478.05|         .00|         .00|ALL      |15912.6667|   135546.54|null
  1|crg49j4zawzwt| 311184100| 26267|WED 09-10 23:00  |   1|     1|     16|     0|      15|     4910336|    4899651|        0|        86|  1676981.14|   245750.00|  1535790.83|         .00|         .00|ALL      | 15359.375|   104811.32|null
  1|crg49j4zawzwt| 311184100| 26268|THU 10-10 00:00  |   0|     2|     11|     0|      11|     3600861|    3592935|        0|        17|  1192327.38|   183830.00|  1086393.67|         .00|      108.62|ALL      |16711.8182|   108393.40|null
  1|crg49j4zawzwt| 311184100| 26269|THU 10-10 01:00  |   0|     0|     16|     0|      20|     5237707|    5225973|        0|       100|  1463082.14|   263310.00|  1312193.43|         .00|      107.13|ALL      | 16456.875|    91442.63|null
  1|crg49j4zawzwt| 311184100| 26270|THU 10-10 02:00  |   0|     1|     16|     0|      16|     5559590|    5547147|        0|        84|  1526897.71|   262600.00|  1378129.41|         .00|      110.69|ALL      |   16412.5|    95431.11|null
