collection_host,collection_key,category,data_element,source,instance_number,inst_id,value
usaws910, TASDEV3404434, cpu, aas_on_cpu_999               , gv$active_session_history,                    0,                    1,                          3
usaws910, TASDEV3404434, cpu, aas_resmgr_cpu_quantum_999   , gv$active_session_history,                    0,                    1,                          1
usaws910, TASDEV3404434, cpu, aas_on_cpu_and_resmgr_999    , gv$active_session_history,                   -1,                   -1,                          3
usaws910, TASDEV3404434, cpu, aas_on_cpu_999               , gv$active_session_history,                   -1,                   -1,                          3
usaws910, TASDEV3404434, cpu, aas_resmgr_cpu_quantum_999   , gv$active_session_history,                   -1,                   -1,                          1
usaws910, TASDEV3404434, cpu, aas_on_cpu_and_resmgr_99     , gv$active_session_history,                    0,                    1,                          2
usaws910, TASDEV3404434, cpu, aas_on_cpu_99                , gv$active_session_history,                    0,                    1,                          2
usaws910, TASDEV3404434, cpu, aas_resmgr_cpu_quantum_99    , gv$active_session_history,                    0,                    1,                          0
usaws910, TASDEV3404434, cpu, aas_on_cpu_and_resmgr_99     , gv$active_session_history,                   -1,                   -1,                          2
usaws910, TASDEV3404434, cpu, aas_on_cpu_99                , gv$active_session_history,                   -1,                   -1,                          2
usaws910, TASDEV3404434, cpu, aas_resmgr_cpu_quantum_99    , gv$active_session_history,                   -1,                   -1,                          0
usaws910, TASDEV3404434, cpu, aas_on_cpu_and_resmgr_97     , gv$active_session_history,                    0,                    1,                          2
usaws910, TASDEV3404434, cpu, aas_on_cpu_97                , gv$active_session_history,                    0,                    1,                          2
usaws910, TASDEV3404434, cpu, aas_resmgr_cpu_quantum_97    , gv$active_session_history,                    0,                    1,                          0
usaws910, TASDEV3404434, cpu, aas_on_cpu_and_resmgr_97     , gv$active_session_history,                   -1,                   -1,                          2
usaws910, TASDEV3404434, cpu, aas_on_cpu_97                , gv$active_session_history,                   -1,                   -1,                          2
usaws910, TASDEV3404434, cpu, aas_resmgr_cpu_quantum_97    , gv$active_session_history,                   -1,                   -1,                          0
usaws910, TASDEV3404434, cpu, aas_on_cpu_and_resmgr_95     , gv$active_session_history,                    0,                    1,                          2
usaws910, TASDEV3404434, cpu, aas_on_cpu_95                , gv$active_session_history,                    0,                    1,                          2
usaws910, TASDEV3404434, cpu, aas_resmgr_cpu_quantum_95    , gv$active_session_history,                    0,                    1,                          0
usaws910, TASDEV3404434, cpu, aas_on_cpu_and_resmgr_95     , gv$active_session_history,                   -1,                   -1,                          2
usaws910, TASDEV3404434, cpu, aas_on_cpu_95                , gv$active_session_history,                   -1,                   -1,                          2
usaws910, TASDEV3404434, cpu, aas_resmgr_cpu_quantum_95    , gv$active_session_history,                   -1,                   -1,                          0
usaws910, TASDEV3404434, cpu, aas_on_cpu_and_resmgr_90     , gv$active_session_history,                    0,                    1,                          1
usaws910, TASDEV3404434, cpu, aas_on_cpu_90                , gv$active_session_history,                    0,                    1,                          1
usaws910, TASDEV3404434, cpu, aas_resmgr_cpu_quantum_90    , gv$active_session_history,                    0,                    1,                          0
usaws910, TASDEV3404434, cpu, aas_on_cpu_and_resmgr_90     , gv$active_session_history,                   -1,                   -1,                          1
usaws910, TASDEV3404434, cpu, aas_on_cpu_90                , gv$active_session_history,                   -1,                   -1,                          1
usaws910, TASDEV3404434, cpu, aas_resmgr_cpu_quantum_90    , gv$active_session_history,                   -1,                   -1,                          0
usaws910, TASDEV3404434, cpu, aas_on_cpu_and_resmgr_75     , gv$active_session_history,                    0,                    1,                          1
usaws910, TASDEV3404434, cpu, aas_on_cpu_75                , gv$active_session_history,                    0,                    1,                          1
usaws910, TASDEV3404434, cpu, aas_resmgr_cpu_quantum_75    , gv$active_session_history,                    0,                    1,                          0
usaws910, TASDEV3404434, cpu, aas_on_cpu_and_resmgr_75     , gv$active_session_history,                   -1,                   -1,                          1
usaws910, TASDEV3404434, cpu, aas_on_cpu_75                , gv$active_session_history,                   -1,                   -1,                          1
usaws910, TASDEV3404434, cpu, aas_resmgr_cpu_quantum_75    , gv$active_session_history,                   -1,                   -1,                          0
usaws910, TASDEV3404434, cpu, aas_on_cpu_and_resmgr_median , gv$active_session_history,                    0,                    1,                          1
usaws910, TASDEV3404434, cpu, aas_on_cpu_median            , gv$active_session_history,                    0,                    1,                          1
usaws910, TASDEV3404434, cpu, aas_resmgr_cpu_quantum_median, gv$active_session_history,                    0,                    1,                          0
usaws910, TASDEV3404434, cpu, aas_on_cpu_and_resmgr_median , gv$active_session_history,                   -1,                   -1,                          1
usaws910, TASDEV3404434, cpu, aas_on_cpu_median            , gv$active_session_history,                   -1,                   -1,                          1
usaws910, TASDEV3404434, cpu, aas_resmgr_cpu_quantum_median, gv$active_session_history,                   -1,                   -1,                          0
usaws910, TASDEV3404434, cpu, aas_on_cpu_and_resmgr_avg    , gv$active_session_history,                    0,                    1,                        1.1
usaws910, TASDEV3404434, cpu, aas_on_cpu_avg               , gv$active_session_history,                    0,                    1,                        1.1
usaws910, TASDEV3404434, cpu, aas_resmgr_cpu_quantum_avg   , gv$active_session_history,                    0,                    1,                          0
usaws910, TASDEV3404434, cpu, aas_on_cpu_and_resmgr_avg    , gv$active_session_history,                   -1,                   -1,                        1.1
usaws910, TASDEV3404434, cpu, aas_on_cpu_avg               , gv$active_session_history,                   -1,                   -1,                        1.1
usaws910, TASDEV3404434, cpu, aas_resmgr_cpu_quantum_avg   , gv$active_session_history,                   -1,                   -1,                          0
usaws910, TASDEV3404434, mem, sga_alloc, dba_hist_sga,                    1,                    0,           4294967296
usaws910, TASDEV3404434, mem, sga_alloc, dba_hist_sga,                   -1,                   -1,           4294967296
usaws910, TASDEV3404434, mem, sga_alloc, gv$sgainfo,                    0,                    1,           4294967296
usaws910, TASDEV3404434, mem, sga_alloc, gv$sgainfo,                   -1,                   -1,           4294967296
usaws910, TASDEV3404434, mem, pga_alloc, dba_hist_pgastat,                    1,                    0,            575055872
usaws910, TASDEV3404434, mem, pga_alloc, dba_hist_pgastat,                   -1,                   -1,            575055872
usaws910, TASDEV3404434, mem, pga_alloc, gv$pgastat,                    0,                    1,            575055872
usaws910, TASDEV3404434, mem, pga_alloc, gv$pgastat,                   -1,                   -1,            575055872
usaws910, TASDEV3404434, mem, sga_max_size                                                    , dba_hist_parameter,                   -1,                   -1,           4294967296
usaws910, TASDEV3404434, mem, pga_aggregate_target                                            , dba_hist_parameter,                   -1,                   -1,           2147483648
usaws910, TASDEV3404434, mem, memory_max_target                                               , dba_hist_parameter,                   -1,                   -1,                    0
usaws910, TASDEV3404434, mem, sga_target                                                      , dba_hist_parameter,                   -1,                   -1,           4294967296
usaws910, TASDEV3404434, mem, cpu_count                                                       , dba_hist_parameter,                   -1,                   -1,                    2
usaws910, TASDEV3404434, mem, memory_target                                                   , dba_hist_parameter,                   -1,                   -1,                    0
usaws910, TASDEV3404434, mem, memory_max_target                                               , dba_hist_parameter,                    1,                    0,                    0
usaws910, TASDEV3404434, mem, memory_target                                                   , dba_hist_parameter,                    1,                    0,                    0
usaws910, TASDEV3404434, mem, sga_target                                                      , dba_hist_parameter,                    1,                    0,           4294967296
usaws910, TASDEV3404434, mem, sga_max_size                                                    , dba_hist_parameter,                    1,                    0,           4294967296
usaws910, TASDEV3404434, mem, cpu_count                                                       , dba_hist_parameter,                    1,                    0,                    2
usaws910, TASDEV3404434, mem, pga_aggregate_target                                            , dba_hist_parameter,                    1,                    0,           2147483648
usaws910, TASDEV3404434, mem, sga_max_size                                                                    , gv$system_parameter,                   -1,                   -1,           4294967296
usaws910, TASDEV3404434, mem, pga_aggregate_target                                                            , gv$system_parameter,                   -1,                   -1,           2147483648
usaws910, TASDEV3404434, mem, memory_max_target                                                               , gv$system_parameter,                   -1,                   -1,                    0
usaws910, TASDEV3404434, mem, sga_target                                                                      , gv$system_parameter,                   -1,                   -1,           4294967296
usaws910, TASDEV3404434, mem, cpu_count                                                                       , gv$system_parameter,                   -1,                   -1,                    2
usaws910, TASDEV3404434, mem, memory_target                                                                   , gv$system_parameter,                   -1,                   -1,                    0
usaws910, TASDEV3404434, mem, memory_max_target                                                               , gv$system_parameter,                    0,                    1,                    0
usaws910, TASDEV3404434, mem, memory_target                                                                   , gv$system_parameter,                    0,                    1,                    0
usaws910, TASDEV3404434, mem, sga_target                                                                      , gv$system_parameter,                    0,                    1,           4294967296
usaws910, TASDEV3404434, mem, sga_max_size                                                                    , gv$system_parameter,                    0,                    1,           4294967296
usaws910, TASDEV3404434, mem, cpu_count                                                                       , gv$system_parameter,                    0,                    1,                    2
usaws910, TASDEV3404434, mem, pga_aggregate_target                                                            , gv$system_parameter,                    0,                    1,           2147483648
usaws910, TASDEV3404434, db_size, datafile   , v$datafile   ,                   -1,                   -1,          90378731520
usaws910, TASDEV3404434, db_size, tempfile   , v$tempfile   ,                   -1,                   -1,          35357982720
usaws910, TASDEV3404434, db_size, redo_log   , v$log        ,                   -1,                   -1,            419430400
usaws910, TASDEV3404434, db_size, controlfile, v$controlfile,                   -1,                   -1,             69107712
usaws910, TASDEV3404434, db_size, total      , v$           ,                   -1,                   -1,         126225252352
usaws910, TASDEV3404434, disk_perf, r_reqs_perc   , dba_hist_sysstat,                    1,                    0,                 62.9
usaws910, TASDEV3404434, disk_perf, w_reqs_perc   , dba_hist_sysstat,                    1,                    0,                 37.1
usaws910, TASDEV3404434, disk_perf, rw_iops_peak  , dba_hist_sysstat,                    1,                    0,                   15
usaws910, TASDEV3404434, disk_perf, r_iops_peak   , dba_hist_sysstat,                    1,                    0,                   10
usaws910, TASDEV3404434, disk_perf, w_iops_peak   , dba_hist_sysstat,                    1,                    0,                    6
usaws910, TASDEV3404434, disk_perf, rw_iops_999   , dba_hist_sysstat,                    1,                    0,                   15
usaws910, TASDEV3404434, disk_perf, r_iops_999    , dba_hist_sysstat,                    1,                    0,                   10
usaws910, TASDEV3404434, disk_perf, w_iops_999    , dba_hist_sysstat,                    1,                    0,                    6
usaws910, TASDEV3404434, disk_perf, rw_iops_99    , dba_hist_sysstat,                    1,                    0,                   10
usaws910, TASDEV3404434, disk_perf, r_iops_99     , dba_hist_sysstat,                    1,                    0,                    7
usaws910, TASDEV3404434, disk_perf, w_iops_99     , dba_hist_sysstat,                    1,                    0,                    4
usaws910, TASDEV3404434, disk_perf, rw_iops_97    , dba_hist_sysstat,                    1,                    0,                    8
usaws910, TASDEV3404434, disk_perf, r_iops_97     , dba_hist_sysstat,                    1,                    0,                    5
usaws910, TASDEV3404434, disk_perf, w_iops_97     , dba_hist_sysstat,                    1,                    0,                    3
usaws910, TASDEV3404434, disk_perf, rw_iops_95    , dba_hist_sysstat,                    1,                    0,                    7
usaws910, TASDEV3404434, disk_perf, r_iops_95     , dba_hist_sysstat,                    1,                    0,                    5
usaws910, TASDEV3404434, disk_perf, w_iops_95     , dba_hist_sysstat,                    1,                    0,                    3
usaws910, TASDEV3404434, disk_perf, rw_iops_90    , dba_hist_sysstat,                    1,                    0,                    5
usaws910, TASDEV3404434, disk_perf, r_iops_90     , dba_hist_sysstat,                    1,                    0,                    3
usaws910, TASDEV3404434, disk_perf, w_iops_90     , dba_hist_sysstat,                    1,                    0,                    2
usaws910, TASDEV3404434, disk_perf, rw_iops_75    , dba_hist_sysstat,                    1,                    0,                    5
usaws910, TASDEV3404434, disk_perf, r_iops_75     , dba_hist_sysstat,                    1,                    0,                    3
usaws910, TASDEV3404434, disk_perf, w_iops_75     , dba_hist_sysstat,                    1,                    0,                    2
usaws910, TASDEV3404434, disk_perf, rw_iops_median, dba_hist_sysstat,                    1,                    0,                    5
usaws910, TASDEV3404434, disk_perf, r_iops_median , dba_hist_sysstat,                    1,                    0,                    3
usaws910, TASDEV3404434, disk_perf, w_iops_median , dba_hist_sysstat,                    1,                    0,                    2
usaws910, TASDEV3404434, disk_perf, rw_iops_avg   , dba_hist_sysstat,                    1,                    0,                    5
usaws910, TASDEV3404434, disk_perf, r_iops_avg    , dba_hist_sysstat,                    1,                    0,                    3
usaws910, TASDEV3404434, disk_perf, w_iops_avg    , dba_hist_sysstat,                    1,                    0,                    2
usaws910, TASDEV3404434, disk_perf, r_bytes_perc  , dba_hist_sysstat,                    1,                    0,                 58.3
usaws910, TASDEV3404434, disk_perf, w_bytes_perc  , dba_hist_sysstat,                    1,                    0,                 41.7
usaws910, TASDEV3404434, disk_perf, rw_mbps_peak  , dba_hist_sysstat,                    1,                    0,                    9
usaws910, TASDEV3404434, disk_perf, r_mbps_peak   , dba_hist_sysstat,                    1,                    0,                    5
usaws910, TASDEV3404434, disk_perf, w_mbps_peak   , dba_hist_sysstat,                    1,                    0,                    4
usaws910, TASDEV3404434, disk_perf, rw_mbps_999   , dba_hist_sysstat,                    1,                    0,                    9
usaws910, TASDEV3404434, disk_perf, r_mbps_999    , dba_hist_sysstat,                    1,                    0,                    5
usaws910, TASDEV3404434, disk_perf, w_mbps_999    , dba_hist_sysstat,                    1,                    0,                    4
usaws910, TASDEV3404434, disk_perf, rw_mbps_99    , dba_hist_sysstat,                    1,                    0,                    3
usaws910, TASDEV3404434, disk_perf, r_mbps_99     , dba_hist_sysstat,                    1,                    0,                    2
usaws910, TASDEV3404434, disk_perf, w_mbps_99     , dba_hist_sysstat,                    1,                    0,                    1
usaws910, TASDEV3404434, disk_perf, rw_mbps_97    , dba_hist_sysstat,                    1,                    0,                    0
usaws910, TASDEV3404434, disk_perf, r_mbps_97     , dba_hist_sysstat,                    1,                    0,                    0
usaws910, TASDEV3404434, disk_perf, w_mbps_97     , dba_hist_sysstat,                    1,                    0,                    0
usaws910, TASDEV3404434, disk_perf, rw_mbps_95    , dba_hist_sysstat,                    1,                    0,                    0
usaws910, TASDEV3404434, disk_perf, r_mbps_95     , dba_hist_sysstat,                    1,                    0,                    0
usaws910, TASDEV3404434, disk_perf, w_mbps_95     , dba_hist_sysstat,                    1,                    0,                    0
usaws910, TASDEV3404434, disk_perf, rw_mbps_90    , dba_hist_sysstat,                    1,                    0,                    0
usaws910, TASDEV3404434, disk_perf, r_mbps_90     , dba_hist_sysstat,                    1,                    0,                    0
usaws910, TASDEV3404434, disk_perf, w_mbps_90     , dba_hist_sysstat,                    1,                    0,                    0
usaws910, TASDEV3404434, disk_perf, rw_mbps_75    , dba_hist_sysstat,                    1,                    0,                    0
usaws910, TASDEV3404434, disk_perf, r_mbps_75     , dba_hist_sysstat,                    1,                    0,                    0
usaws910, TASDEV3404434, disk_perf, w_mbps_75     , dba_hist_sysstat,                    1,                    0,                    0
usaws910, TASDEV3404434, disk_perf, rw_mbps_median, dba_hist_sysstat,                    1,                    0,                    0
usaws910, TASDEV3404434, disk_perf, r_mbps_median , dba_hist_sysstat,                    1,                    0,                    0
usaws910, TASDEV3404434, disk_perf, w_mbps_median , dba_hist_sysstat,                    1,                    0,                    0
usaws910, TASDEV3404434, disk_perf, rw_mbps_avg   , dba_hist_sysstat,                    1,                    0,                    0
usaws910, TASDEV3404434, disk_perf, r_mbps_avg    , dba_hist_sysstat,                    1,                    0,                    0
usaws910, TASDEV3404434, disk_perf, w_mbps_avg    , dba_hist_sysstat,                    1,                    0,                    0
usaws910, TASDEV3404434, disk_perf, r_reqs_perc   , dba_hist_sysstat,                   -1,                   -1,                 62.9
usaws910, TASDEV3404434, disk_perf, w_reqs_perc   , dba_hist_sysstat,                   -1,                   -1,                 37.1
usaws910, TASDEV3404434, disk_perf, rw_iops_peak  , dba_hist_sysstat,                   -1,                   -1,                   15
usaws910, TASDEV3404434, disk_perf, r_iops_peak   , dba_hist_sysstat,                   -1,                   -1,                   10
usaws910, TASDEV3404434, disk_perf, w_iops_peak   , dba_hist_sysstat,                   -1,                   -1,                    6
usaws910, TASDEV3404434, disk_perf, rw_iops_999   , dba_hist_sysstat,                   -1,                   -1,                   15
usaws910, TASDEV3404434, disk_perf, r_iops_999    , dba_hist_sysstat,                   -1,                   -1,                   10
usaws910, TASDEV3404434, disk_perf, w_iops_999    , dba_hist_sysstat,                   -1,                   -1,                    6
usaws910, TASDEV3404434, disk_perf, rw_iops_99    , dba_hist_sysstat,                   -1,                   -1,                   10
usaws910, TASDEV3404434, disk_perf, r_iops_99     , dba_hist_sysstat,                   -1,                   -1,                    7
usaws910, TASDEV3404434, disk_perf, w_iops_99     , dba_hist_sysstat,                   -1,                   -1,                    4
usaws910, TASDEV3404434, disk_perf, rw_iops_97    , dba_hist_sysstat,                   -1,                   -1,                    8
usaws910, TASDEV3404434, disk_perf, r_iops_97     , dba_hist_sysstat,                   -1,                   -1,                    5
usaws910, TASDEV3404434, disk_perf, w_iops_97     , dba_hist_sysstat,                   -1,                   -1,                    3
usaws910, TASDEV3404434, disk_perf, rw_iops_95    , dba_hist_sysstat,                   -1,                   -1,                    7
usaws910, TASDEV3404434, disk_perf, r_iops_95     , dba_hist_sysstat,                   -1,                   -1,                    5
usaws910, TASDEV3404434, disk_perf, w_iops_95     , dba_hist_sysstat,                   -1,                   -1,                    3
usaws910, TASDEV3404434, disk_perf, rw_iops_90    , dba_hist_sysstat,                   -1,                   -1,                    5
usaws910, TASDEV3404434, disk_perf, r_iops_90     , dba_hist_sysstat,                   -1,                   -1,                    3
usaws910, TASDEV3404434, disk_perf, w_iops_90     , dba_hist_sysstat,                   -1,                   -1,                    2
usaws910, TASDEV3404434, disk_perf, rw_iops_75    , dba_hist_sysstat,                   -1,                   -1,                    5
usaws910, TASDEV3404434, disk_perf, r_iops_75     , dba_hist_sysstat,                   -1,                   -1,                    3
usaws910, TASDEV3404434, disk_perf, w_iops_75     , dba_hist_sysstat,                   -1,                   -1,                    2
usaws910, TASDEV3404434, disk_perf, rw_iops_median, dba_hist_sysstat,                   -1,                   -1,                    5
